id,titulo,autor,editorial,precio,stock,imagen,descripcion,created_at,updated_at,categoria,idioma,formato,cantidad_ventas,descuento
1,El Gran Gatsby,F. Scott Fitzgerald,Scribner,15.99,10,https://covers.openlibrary.org/b/isbn/9780743273565-L.jpg,Una novela clásica sobre la vida en la década de 1920.,2023-10-01 12:00:00,2023-10-01 12:00:00,terror,español,digital,58,10
2,1984,George Orwell,Secker & Warburg,12.99,5,https://covers.openlibrary.org/b/isbn/9780451524935-L.jpg,Una distopía sobre un futuro totalitario.,2023-10-02 12:00:00,2023-10-02 12:00:00,ciencia ficcion,ingles,físico,34,5
3,Matar a un ruiseñor,Harper Lee,J.B. Lippincott & Co.,14.49,8,https://covers.openlibrary.org/b/isbn/9780061120084-L.jpg,Una historia sobre la injusticia racial en el sur de Estados Unidos.,2023-10-03 12:00:00,2023-10-03 12:00:00,terror,español,digital,72,20
4,Orgullo y prejuicio,Jane Austen,T. Egerton,13.99,12,https://covers.openlibrary.org/b/isbn/9780141439518-L.jpg,Un clásico de la literatura romántica inglesa.,2023-10-04 12:00:00,2023-10-04 12:00:00,romance,español,digital,27,15
5,El guardián entre el centeno,J.D. Salinger,"Little, Brown and Company",11.5,6,https://covers.openlibrary.org/b/isbn/9780316769488-L.jpg,La historia de un adolescente en conflicto con el mundo adulto.,2023-10-05 12:00:00,2023-10-05 12:00:00,misterio,español,físico,45,0
6,El Hobbit,J.R.R. Tolkien,George Allen & Unwin,17.95,7,https://covers.openlibrary.org/b/isbn/9780547928227-L.jpg,La aventura de Bilbo Bolsón antes de la guerra del Anillo.,2023-10-06 12:00:00,2023-10-06 12:00:00,terror,español,digital,11,25
7,Moby Dick,Herman Melville,Harper & Brothers,16.5,4,https://images.cdn3.buscalibre.com/fit-in/360x360/ed/c5/edc5b53333ebd87cfe6256685249673f.jpg,La obsesiva caza de la gran ballena blanca.,2023-10-07 12:00:00,2023-10-07 12:00:00,romance,ingles,físico,66,10
8,Guerra y paz,León Tolstói,The Russian Messenger,19.99,9,https://covers.openlibrary.org/b/isbn/9780199232765-L.jpg,Una gran epopeya de la sociedad rusa durante las guerras napoleónicas.,2023-10-08 12:00:00,2023-10-08 12:00:00,terror,español,digital,52,5
9,Crimen y castigo,Fiódor Dostoyevski,The Russian Messenger,18.75,3,https://covers.openlibrary.org/b/isbn/9780140449136-L.jpg,La lucha moral de un joven después de cometer un asesinato.,2023-10-09 12:00:00,2023-10-09 12:00:00,romance,español,digital,38,0
10,El señor de los anillos,J.R.R. Tolkien,Allen & Unwin,25.0,2,https://covers.openlibrary.org/b/isbn/9780618640157-L.jpg,La épica conclusión al viaje de la Comunidad del Anillo.,2023-10-10 12:00:00,2023-10-10 12:00:00,terror,español,digital,71,20
11,Jane Eyre,Charlotte Brontë,"Smith, Elder & Co.",14.0,11,https://covers.openlibrary.org/b/isbn/9780141441146-L.jpg,La historia de una joven institutriz y sus desafíos.,2023-10-11 12:00:00,2023-10-11 12:00:00,romance,ingles,físico,19,15
13,Un mundo feliz,Aldous Huxley,Chatto & Windus,15.0,13,https://covers.openlibrary.org/b/isbn/9780060850524-L.jpg,Una visión perturbadora de una sociedad ultra-controlada.,2023-10-13 12:00:00,2023-10-13 12:00:00,terror,español,digital,39,30
14,La Odisea,Homero,Penguin Classics,12.5,6,https://covers.openlibrary.org/b/isbn/9780140268867-L.jpg,El largo viaje de regreso a Ítaca de Ulises.,2023-10-14 12:00:00,2023-10-14 12:00:00,ciencia ficcion,ingles,físico,42,0
